CCSR Diagnosis Code  CCSR Procedure Code
                     MAM006                     5
                     RES007                     5
                     CAR002                     4
                     GIS006                     4
                     ESA006                     3
                     GIS001                     3
                     GIS004                     3
                     IMG006                     3
                     IMG007                     3
                     MAM008                     3
                     RES010                     3
                     ADM019                     2
                     CAR008                     2
                     ESA002                     2
                     ESA005                     2
                     ESA007                     2
                     ESA009                     2
                     MAM011                     2
                     RES003                     2
                     URN006                     2
                     ADM002                     1
                     ADM006                     1
                     CAR006                     1
                     CAR025                     1
                     CAR027                     1
                     CAR029                     1
                     CNS001                     1
                     ENT015                     1
                     ESA008                     1
                     GIS029                     1
                     GNR004                     1
                     HEP001                     1
                     IMG002                     1
                     IMG004                     1
                     IMG005                     1
                     IMG009                     1
                     MAM010                     1
                     MHT005                     1
                     MST001                     1
                     MST004                     1
                     MST023                     1
                     RHB002                     1
CIR002               ADM015                     2
                     IMG008                     2
                     ADM021                     1
                     CNS002                     1
                     ESA004                     1
                     MAM005                     1
                     MAM011                     1
                     MST029                     1
                     OTR004                     1
CIR003               CAR023                  6399
                     CAR022                  2211
                     MAM005                   452
                     IMG008                   134
                     IMG001                    94
                     ADM021                    71
                     CAR004                    61
                     CAR003                    51
                     ESA004                    41
                     CAR012                    36
                     ESA001                    30
                     CAR024                    27
                     CAR026                    27
                     ADM001                    23
                     OTR004                    17
                     CAR019                    14
                     CAR027                    13
